name,label1,label2,Postnum,Integral,Essence,Votenum,active,totaltimes,date1,date2
天空＿之城,unknown,unknown,21,6,0,0,1,6,2005-12-03,2005-12-11
重活一次多好,others,practicing doctor,93,2,0,9,1,2,2007-11-08,2010-11-01
qz15533853758,unknown,unknown,0,0,0,0,1,6,2017-02-24,2018-03-09
一锤定因,nero,practicing doctor,24,1,0,0,93,2,2017-11-01,2018-02-01
sallyyu,others,practicing doctor,7,0,0,0,1,1,2016-09-02,2016-09-02
dongchao2009,nero,identified doctor,50,1,0,6,1,1,2013-01-08,2013-01-08
zhengxingke,unknown,unknown,131,3,0,2,186,27,2004-04-30,2006-07-09
wlj8888,nero,identified doctor,393,11,0,172,1406,148,2013-10-31,2018-10-10
柳叶刀长,others,practicing doctor,1726,38,1,745,28,74,2013-07-17,2013-12-04
林决夕V,unknown,medical student,8,0,0,4,1,1,2016-08-22,2016-08-22
杨延庆,unknown,unknown,30,0,0,0,2657,2,2006-12-03,2014-03-12
瘦马,nero,practicing doctor,3608,363,0,281,4068,687,2005-03-15,2018-09-25
lh5413,others,practicing doctor,66,4,0,3,96,14,2005-04-17,2005-12-09
huangdandan,unknown,unknown,34,18,0,0,56,24,2005-06-26,2005-08-28
olivezrp,unknown,unknown,74,9,0,2,1,2,2004-07-15,2005-02-20
MinghuiGu,unknown,unknown,138,3,0,93,1,3,2018-05-28,2019-03-29
rickqincn,nero,practicing doctor,53,6,0,27,180,9,2015-05-08,2018-11-13
奖你一朵小红花,unknown,medical student,39,0,0,78,1,1,2016-11-19,2016-11-19
sxw0133,nero,practicing doctor,1166,136,1,167,225,61,2006-08-18,2015-01-05
286923207,nero,practicing doctor,146,17,0,91,426,30,2012-07-07,2017-06-10
hejie76610,others,practicing doctor,501,92,0,506,76,19,2005-07-09,2018-04-18
季如风2016,unknown,unknown,5,0,0,7,1,1,2019-01-01,2019-01-01
dhb023,unknown,unknown,0,0,0,0,1,14,2004-04-28,2004-08-18
gy-cw,unknown,medical student,1432,151,0,2346,949,94,2015-11-03,2019-04-11
丁香园神经频道,unknown,unknown,0,0,0,0,483,136,2013-11-21,2019-03-06
tanjunchengyj,nero,practicing doctor,8,0,0,1,509,6,2015-07-11,2017-01-04
小婆儿医,unknown,unknown,0,0,0,3,6,4,2018-12-14,2019-04-15
lbchuan,unknown,unknown,347,68,1,13,28,61,2004-07-04,2004-09-25
tiandi,nero,practicing doctor,350,29,0,19,17,101,2005-03-24,2006-01-01
shampoo,others,specialist,2200,241,25,391,685,592,2002-11-13,2006-07-29
doctorrain,others,practicing doctor,25,0,0,1,1,1,2018-07-12,2018-07-12
zhtm2000,nero,practicing doctor,2084,305,17,68,970,558,2003-04-27,2007-05-12
凉拌黄花,nero,practicing doctor,266,41,0,15,829,17,2005-07-27,2016-02-28
废铜烂铁,nero,practicing doctor,26,1,0,1,45,6,2012-03-07,2016-08-01
Orcbroccoli,unknown,unknown,104,6,0,104,18,66,2018-02-16,2018-09-19
jiangmkun,nero,specialist,517,57,3,15,358,188,2004-11-24,2006-11-19
wjfwlw,nero,identified doctor,129,6,0,87,267,17,2013-06-18,2016-10-18
麻醉科小菜鸟,unknown,unknown,1,0,0,0,1,1,2018-12-17,2018-12-17
shmily887766,unknown,unknown,5,0,0,0,1,2,2004-12-14,2004-12-14
fenghe2000,unknown,unknown,277,34,0,42,320,128,2004-08-08,2006-01-16
y8936,others,practicing doctor,1601,185,0,3016,23,155,2014-06-26,2019-02-12
zhonglixunni,nero,practicing doctor,191,39,1,445,35,147,2017-08-02,2019-03-05
奔跑的呆鹅,unknown,medical student,141,2,0,165,795,53,2016-12-26,2019-02-28
sanshi,nero,identified doctor,2322,70,7,394,5029,153,2003-12-10,2018-11-22
xuyicheng,nero,practicing doctor,375,48,1,54,3060,42,2005-10-27,2014-07-06
cao20001007,unknown,unknown,133,11,0,1,61,17,2005-04-30,2006-01-23
lzhh666,nero,specialist,15,14,0,0,26,12,2005-06-28,2005-07-23
心里云天边宇,nero,identified doctor,113,4,1,78,308,2,2013-03-11,2014-01-12
tzb,others,practicing doctor,66,16,0,2,1,1,2005-04-03,2005-04-03
cool,nero,specialist,2956,278,8,169,1669,618,2002-07-22,2011-12-28
江湖丫丫,nero,practicing doctor,538,10,0,487,1039,132,2015-02-24,2019-03-10
另一种fell,unknown,unknown,4,0,0,0,1,2,2016-11-26,2016-11-26
pgh0924,nero,practicing doctor,533,208,2,119,856,197,2004-05-14,2014-01-12
plqfjnd,unknown,unknown,0,0,0,0,1,1,2016-10-12,2016-10-12
lggj,nero,practicing doctor,745,130,0,43,668,176,2004-02-15,2015-09-24
banxia1982,nero,practicing doctor,185,3,0,16,1,1,2014-03-30,2014-03-30
NYL,unknown,unknown,102,15,0,3,524,52,2003-08-01,2006-01-02
bgs1108,nero,practicing doctor,400,111,1,3131,410,347,2017-08-07,2018-12-29
xcj6886,nero,practicing doctor,248,32,0,5,3810,125,2005-02-26,2015-08-02
suxiadi,unknown,unknown,1,0,0,0,1,1,2016-09-06,2016-09-06
baihmfmmu,nero,identified doctor,205,24,1,7,234,102,2004-07-28,2005-04-29
gujianjundt,others,practicing doctor,43,3,0,2,1,1,2011-08-13,2011-08-13
远方医者,others,practicing doctor,129,24,0,1417,49,7,2015-10-29,2018-03-12
深海寂寞鱼,unknown,unknown,126,24,3,14,46,37,2003-06-15,2005-03-06
meikong115,others,practicing doctor,24,7,0,0,355,5,2004-12-13,2005-12-02
龚翠兰922,nero,practicing doctor,2,0,0,0,165,2,2017-11-11,2018-04-24
龙龙飞,others,practicing doctor,44,0,0,315,79,3,2017-01-12,2017-03-31
maoweistrive,unknown,unknown,0,0,0,0,1,1,2016-10-10,2016-10-10
luolei,unknown,unknown,32,0,0,4,1,2,2006-01-09,2016-03-31
小林医生吖,unknown,unknown,0,0,0,1,1,2,2018-11-23,2018-11-23
azhang007,nero,practicing doctor,38,7,0,7,1,3,2004-06-28,2018-07-04
zwd68,nero,specialist,566,97,0,10,458,259,2004-09-17,2006-01-06
奔跑的达科特,others,practicing doctor,177,1,0,260,1,2,2016-12-22,2017-10-16
wangyongguang78,others,practicing doctor,12,0,0,2,1,5,2005-11-27,2005-11-27
juese,nero,practicing doctor,510,36,2,9,790,138,2004-05-28,2007-03-12
低位脑干,unknown,medical student,127,0,0,77,1,2,2018-02-07,2018-03-14
zxcvbnm19,nero,practicing doctor,183,27,0,15,1915,10,2009-07-23,2015-04-14
wenhuo,nero,practicing doctor,858,122,4,48,575,177,2005-03-23,2007-03-11
gljone,nero,identified doctor,1997,144,1,678,3448,312,2008-07-29,2019-03-16
红帆大队,unknown,unknown,12,0,0,1,1,1,2008-07-30,2008-07-30
521xzm,nero,specialist,1297,121,1,87,4107,393,2003-06-03,2018-05-05
songligong,nero,specialist,494,58,0,30,939,117,2003-07-27,2016-06-26
shootingstar,unknown,unknown,55,11,0,1,49,39,2004-02-08,2004-06-15
summerrain0925,unknown,unknown,101,6,0,1,1463,7,2005-07-05,2009-07-08
夹着蛋蛋的忧伤,nero,practicing doctor,18,1,0,17,1,4,2016-08-24,2016-10-15
czlwzp,unknown,unknown,5,0,0,0,1,1,2016-04-27,2016-04-27
cjy1962,unknown,unknown,66,9,0,16,1,1,2010-11-01,2010-11-01
zhenchanger,nero,practicing doctor,115,14,0,30,1290,19,2005-04-22,2011-10-09
technology,nero,practicing doctor,19,2,0,3,1,5,2003-06-27,2005-09-29
孤u零,others,practicing doctor,272,12,0,197,208,23,2016-10-16,2018-12-29
boiling,nero,practicing doctor,897,58,12,60,975,249,2002-09-01,2005-07-02
cc17,nero,specialist,2076,156,1,198,2297,254,2004-08-16,2011-04-27
happy丹妮,unknown,unknown,13,4,0,1,1,1,2013-03-20,2013-03-20
cjwm,nero,specialist,76,11,0,7,3292,14,2003-08-09,2012-08-12
xiang8zi,nero,practicing doctor,107,23,0,1,1513,24,2005-05-20,2009-07-10
做人要厚道,unknown,unknown,118,10,0,2,1,13,2004-03-16,2014-07-27
renshiq,nero,specialist,233,33,1,16,1,33,2004-05-10,2007-01-13
zxc7878,nero,practicing doctor,403,15,0,267,744,217,2016-02-29,2018-09-28
chenboby,unknown,unknown,152,14,0,10,6,11,2004-12-03,2006-02-18
Tianyuanyuanrmyy,nero,practicing doctor,19,1,0,18,1,9,2016-07-26,2019-01-21
xinyun,nero,practicing doctor,320,68,5,11,804,165,2002-07-23,2008-07-08
pain199954,nero,specialist,245,52,2,10,498,86,2004-02-07,2005-09-01
allensong,nero,specialist,121,15,0,8,3906,25,2004-10-10,2018-12-17
潇怡,unknown,unknown,40,1,0,48,1,18,2014-08-25,2018-08-01
limond,unknown,unknown,332,53,3,33,886,69,2002-11-16,2006-12-05
chenjun0916,nero,specialist,66,22,0,0,490,30,2003-07-24,2005-06-23
dudu子,others,practicing doctor,93,2,0,41,72,21,2018-12-17,2019-03-16
bigfeet,nero,practicing doctor,132,45,0,16,766,69,2003-11-02,2006-01-26
lcaolm2007,unknown,practicing doctor,1092,160,0,1204,952,660,2012-11-28,2019-03-09
Mr_小伍豪,unknown,unknown,38,0,0,10,1,1,2016-09-02,2016-09-02
MLKP112,nero,practicing doctor,168,28,0,2,161,83,2004-08-12,2012-03-12
唐寅儿,unknown,medical student,36,0,0,31,81,19,2018-01-07,2019-03-16
糙蛋,unknown,unknown,39,0,0,1,1,19,2011-08-21,2011-08-21
dxy_2y1jk4z8,unknown,unknown,72,15,0,85,207,63,2018-03-27,2019-03-12
xiao79bing,others,practicing doctor,9764,781,0,23622,1599,828,2014-03-28,2019-03-14
Jxl523,unknown,unknown,8,0,0,3,1,5,2018-01-31,2018-03-20
iamserious,nero,practicing doctor,102,3,0,62,1,13,2010-11-18,2018-07-17
微微笑丽,unknown,unknown,28,0,0,8,1,1,2016-10-13,2016-10-13
南苑医学,unknown,unknown,39,0,0,59,26,3,2017-05-22,2019-01-19
neurotome,nero,specialist,3047,334,16,624,4411,551,2005-01-04,2017-01-31
luke,unknown,unknown,1645,129,2,128,1,39,2003-07-18,2017-03-22
lxq516,nero,practicing doctor,1035,152,0,1001,1830,338,2013-03-01,2019-03-30
Peter1978,unknown,unknown,128,14,0,1,1,28,2004-08-01,2004-09-15
神经蚂蚱,nero,practicing doctor,21,0,0,73,127,14,2017-12-16,2018-08-18
caitianyan,nero,practicing doctor,11,0,0,4,1,2,2015-03-11,2015-08-13
li74179,others,practicing doctor,49,1,0,57,722,6,2010-04-13,2018-07-13
流浪的鱼1,unknown,unknown,189,0,0,365,1,1,2018-09-05,2018-09-05
cyk_1098,nero,specialist,703,75,0,13,2911,354,2004-05-12,2017-03-22
丫吖,unknown,unknown,23,0,0,62,85,21,2015-09-20,2019-02-27
spiderman,unknown,unknown,96,57,2,11,18,63,2002-08-08,2005-02-18
玉麒麟,nero,practicing doctor,341,32,1,14,616,120,2003-11-03,2017-06-17
尖头鱼,others,practicing doctor,975,57,2,1208,148,18,2016-07-10,2018-03-10
ZX时间煮雨,others,practicing doctor,11,1,0,6,1,1,2018-12-06,2018-12-06
smart,nero,practicing doctor,251,23,0,67,83,39,2003-10-10,2016-11-11
hrr1987,others,practicing doctor,20,0,0,17,26,7,2019-01-19,2019-02-13
guoliyun1030,nero,practicing doctor,949,51,0,879,783,526,2016-06-05,2018-08-02
学习之星qgorwnd,unknown,medical student,298,0,0,216,114,24,2016-04-23,2018-05-31
kagomekikyo,others,practicing doctor,108,0,0,6,1,2,2014-07-22,2018-05-09
七月跛驴,unknown,unknown,2,0,0,1,1,1,2017-12-24,2017-12-24
sickle,nero,specialist,23,15,0,3,435,14,2003-09-23,2005-01-17
zhlb808,nero,practicing doctor,141,24,0,11,128,14,2006-07-30,2015-10-08
脑壳,nero,practicing doctor,185,32,0,60,5,31,2003-08-07,2010-07-31
ddjjj,unknown,unknown,114,12,0,7,1385,45,2003-03-17,2007-01-28
sjyskr1,unknown,unknown,95,0,0,87,1,1,2016-02-03,2016-02-03
zzyy123456,nero,practicing doctor,63,2,0,82,1606,19,2014-07-22,2019-03-11
dayo,others,practicing doctor,230,33,0,20,1,1,2008-07-29,2008-07-29
wloyez,unknown,unknown,0,0,0,1,1,1,2019-04-04,2019-04-04
咪噜咪噜ACV7,unknown,unknown,2,0,0,0,1,3,2018-01-31,2018-09-11
zhuang1215,unknown,medical student,18,0,0,5,1,4,2016-08-03,2017-03-12
lv627756,unknown,unknown,0,0,0,0,1,57,2016-11-20,2019-03-01
lqjlm,unknown,practicing doctor,1059,57,1,519,998,69,2012-11-04,2017-02-13
wayway2,nero,identified doctor,812,65,0,41,4628,105,2003-09-21,2018-04-08
zhenglu2000,unknown,unknown,327,59,8,17,1162,117,2002-07-29,2005-10-17
lbxnyy,unknown,unknown,81,3,0,0,770,43,2004-06-28,2007-04-07
chunchunhu,nero,practicing doctor,226,10,0,254,896,130,2004-12-11,2019-02-14
wangyulinyan,nero,specialist,2155,289,2,890,3041,183,2009-10-22,2018-10-20
dityan,unknown,unknown,116,20,0,0,1,8,2005-04-05,2005-04-18
yaoyaohuxu,nero,practicing doctor,462,9,0,110,1834,59,2013-10-02,2019-03-24
一起飞翔,unknown,unknown,365,84,1,2,454,136,2004-06-24,2005-10-20
zhaochob,nero,specialist,1034,390,27,2186,3791,322,2003-05-27,2014-05-27
dwliang,unknown,unknown,1,2,0,19,206,76,2002-11-08,2003-09-11
frank_yan2009,others,practicing doctor,37,1,0,12,1,1,2014-08-15,2014-08-15
liaoshengguang,nero,practicing doctor,334,20,1,3,9,136,2004-12-20,2007-01-01
可乐王子,nero,practicing doctor,110,26,0,122,2311,33,2010-11-08,2018-07-10
哼哼1230,nero,practicing doctor,26,0,0,2,1,4,2013-10-12,2016-10-24
微笑面对生活,unknown,unknown,67,35,0,2,144,7,2005-05-24,2005-12-26
fengneuro,nero,practicing doctor,1377,7,0,262,2416,26,2011-09-25,2018-05-11
skyrising,others,practicing doctor,2799,210,1,7180,1234,106,2015-05-22,2019-03-10
cuilei4977,nero,practicing doctor,217,21,0,3,20,54,2006-03-09,2006-10-14
waterroundyou,nero,practicing doctor,32,0,0,5,1,7,2017-08-31,2018-11-28
wang02,nero,identified doctor,1738,387,17,1313,3849,212,2006-06-12,2018-03-11
杏林人家,nero,specialist,497,95,1,143,4804,57,2003-05-13,2016-07-06
hlhl123,unknown,unknown,130,3,0,1,1,13,2004-03-24,2005-04-20
cmuey1,unknown,practicing doctor,17990,189,2,22169,529,242,2017-08-02,2019-01-12
fugui1987,unknown,identified doctor,71,0,0,5,329,13,2015-07-29,2019-01-30
寿雪飞,nero,practicing doctor,1245,192,20,38,1002,386,2002-09-08,2012-02-13
阿虎2008007,nero,specialist,208,23,0,44,1,14,2005-04-07,2016-07-24
戴847417963,others,practicing doctor,4,0,0,43,1,1,2018-09-21,2018-09-21
海风kk,others,practicing doctor,330,77,0,21,1,3,2003-11-20,2003-11-23
入世未深的医学生,unknown,medical student,0,0,0,0,1,1,2019-02-14,2019-02-14
dingkun1996,nero,practicing doctor,391,20,1,55,3776,30,2003-12-21,2016-04-11
yangbing,unknown,unknown,21,0,0,0,1,2,2008-06-29,2008-06-29
mdlijun,unknown,unknown,162,22,0,6,803,96,2003-11-29,2006-02-09
无力和麻木,nero,identified doctor,84,15,0,2,1,6,2005-03-12,2006-07-07
张97,others,practicing doctor,5,0,0,3,1,1,2019-01-12,2019-01-12
andi,unknown,unknown,20,7,0,6,111,13,2004-01-03,2004-12-30
dongming,unknown,unknown,36,0,0,0,1,3,2003-08-16,2003-08-17
IgG1000,unknown,medical student,36,2,0,59,1,5,2018-05-25,2019-01-16
SaraUZ5V,unknown,unknown,0,0,0,2,9,2,2019-01-09,2019-01-17
夕阳照残荷,others,practicing doctor,61,3,0,6,4,5,2005-04-29,2017-12-20
woloveni,others,practicing doctor,11,0,0,35,1,1,2016-11-22,2016-11-22
srrsh,unknown,unknown,135,18,0,5,259,46,2004-01-04,2005-04-11
xueshanfeihu197,unknown,unknown,136,61,0,26,3690,60,2003-11-23,2016-06-19
tsdoctor,unknown,unknown,1131,69,3,15,916,285,2003-07-26,2006-07-10
dxy8848wyq,nero,practicing doctor,86,18,0,1,189,38,2005-01-03,2005-12-19
tzk5124,nero,practicing doctor,304,7,0,133,385,22,2011-08-11,2017-04-18
csust,unknown,unknown,2896,288,7,60,298,26,2002-09-13,2003-12-10
zhangmeng2008,nero,practicing doctor,540,111,0,21,3483,109,2005-06-01,2017-09-03
hkyyzyp,unknown,unknown,0,0,0,0,318,23,2003-10-24,2005-10-11
cyberlarker,nero,practicing doctor,550,113,6,155,2293,128,2004-04-05,2013-07-13
nmgzr,nero,practicing doctor,14,0,0,5,1,1,2013-11-18,2013-11-18
dushuo20051014,unknown,unknown,3,0,0,0,102,2,2005-12-08,2006-03-19
yyhabcd,unknown,unknown,7,0,0,0,1,5,2018-01-16,2018-12-27
巴豆,nero,practicing doctor,58,7,0,0,17,4,2005-03-25,2005-04-29
dzz,nero,specialist,1036,183,5,81,1835,242,2003-06-09,2008-06-16
ybj_19871218,nero,practicing doctor,110,14,0,28,697,9,2013-09-25,2018-12-19
woshiyishengkao,unknown,unknown,107,13,0,0,262,35,2004-08-17,2006-02-26
shanghong,nero,identified doctor,45,2,0,28,252,29,2016-07-16,2019-03-14
zuohechen,others,identified doctor,145,12,0,2,1,1,2004-10-10,2004-10-10
5知秋一叶,nero,specialist,351,67,2,15,775,166,2003-09-04,2006-02-10
漫步银河,nero,specialist,47,26,0,1,480,25,2005-04-21,2006-08-17
拿蛇杖的人,nero,practicing doctor,824,10,0,1368,1049,202,2011-10-08,2019-03-06
cinnyling,others,practicing doctor,1,0,0,3,1,1,2016-06-27,2016-06-27
heys,nero,specialist,303,55,0,96,4014,138,2004-03-07,2018-06-25
aska,unknown,unknown,50,5,0,1,1,15,2004-11-25,2005-08-02
刀尖上跳舞,nero,identified doctor,154,69,0,9,155,74,2005-09-10,2006-12-18
yangsw,nero,practicing doctor,205,8,0,46,4381,61,2005-08-20,2019-03-12
gulang100,nero,specialist,992,229,12,24,572,447,2004-02-19,2005-10-26
郝瑞锋,unknown,unknown,2,0,0,0,1,2,2005-04-10,2005-07-26
zruiying,unknown,unknown,86,30,0,3,215,69,2003-06-11,2004-01-14
ima,unknown,unknown,319,67,0,10,935,106,2003-06-07,2005-12-31
IcarusH,unknown,medical student,4,0,0,44,1,1,2016-02-01,2016-02-01
T30,unknown,unknown,805,81,4,21,272,87,2002-11-06,2006-08-30
leronliron,unknown,unknown,38,0,0,12,1,3,2016-10-23,2019-03-07
lianzit,unknown,unknown,46,0,0,1,1,1,2011-05-31,2011-05-31
血液,unknown,unknown,24,0,0,0,1,2,2003-08-29,2003-08-29
学生,nero,practicing doctor,664,68,1,46,2490,86,2004-01-08,2016-01-01
hmjanglee,others,identified doctor,3203,273,15,822,1090,29,2006-02-16,2009-02-14
bonyxu,unknown,unknown,139,17,0,2,277,36,2004-03-07,2004-12-08
漫路慎行,nero,practicing doctor,640,23,0,371,2002,130,2011-04-23,2018-08-14
leona_zl,others,practicing doctor,10,0,0,1,1,1,2006-01-16,2006-01-16
wustczj,unknown,unknown,27,4,0,0,1,2,2004-11-28,2005-01-09
小刀飞快,unknown,unknown,0,0,0,0,1,3,2016-09-08,2016-09-08
esmusein,nero,practicing doctor,7,0,0,2,5,4,2018-03-09,2018-10-29
shifang99,nero,practicing doctor,617,49,0,42,1051,14,2002-10-21,2016-07-07
行到水尽处,nero,specialist,114,18,0,14,2536,22,2005-04-29,2015-08-02
william_yuan,nero,practicing doctor,23,0,0,1,1,3,2006-01-11,2006-01-11
lijian1005,nero,practicing doctor,186,7,0,13,141,4,2016-01-10,2018-04-06
hehe0723,unknown,unknown,99,4,0,71,324,24,2018-01-27,2019-03-05
wxzzh,nero,specialist,3417,458,11,764,4691,895,2004-03-07,2018-07-22
Sink11,unknown,unknown,1,0,0,1,1,1,2015-10-25,2015-10-25
wwww1234,nero,practicing doctor,252,86,0,41,3880,79,2004-01-08,2018-10-01
834091,nero,practicing doctor,27,0,0,29,1,4,2013-01-17,2017-10-20
mengfanx,nero,practicing doctor,268,31,0,92,1207,64,2014-02-04,2019-03-05
doctorhexb,nero,specialist,204,49,0,9,758,99,2004-02-07,2006-03-05
dxy_ip3mpov7,unknown,unknown,0,0,0,1,1,1,2019-03-07,2019-03-07
伟之大者,nero,identified doctor,986,9,0,98,100,17,2009-12-21,2013-08-22
姚大将军,unknown,medical student,972,-1,0,1635,368,15,2017-03-14,2018-03-24
ouyangyan002,others,practicing doctor,110,9,0,260,1,1,2018-12-31,2018-12-31
丁香园通讯员,unknown,unknown,0,0,0,0,765,112,2007-11-22,2018-12-25
dochan,unknown,unknown,71,1,0,6,1,9,2004-11-17,2005-01-27
doc315,nero,identified doctor,877,113,2,155,4898,152,2004-08-31,2018-12-29
hah868,others,practicing doctor,21,0,0,2,4263,14,2005-04-28,2017-03-06
surgery163,nero,practicing doctor,123,18,0,15,1,1,2007-09-07,2007-09-07
知医,nero,practicing doctor,423,51,0,423,561,228,2015-03-12,2019-03-05
chb2166,nero,practicing doctor,146,38,0,3,197,47,2005-02-06,2005-09-25
全职猎人,nero,practicing doctor,29,1,0,59,1,21,2018-05-22,2018-09-22
lvranbo1010,unknown,unknown,604,58,0,16,587,183,2003-12-24,2006-06-23
糖果呖咕呖咕,nero,practicing doctor,46,1,0,35,291,14,2016-07-21,2018-11-19
cllw2012,unknown,unknown,0,0,0,0,21,7,2016-10-21,2016-11-10
boboliucn,unknown,unknown,93,5,0,0,504,4,2005-05-22,2006-10-07
aiwbing,unknown,unknown,12,0,0,2,1,6,2004-03-20,2004-04-25
李仁平,others,practicing doctor,2981,44,0,843,2012,216,2011-06-21,2019-02-07
qdyyscg,unknown,unknown,0,0,0,0,1,5,2015-12-16,2017-04-03
脑外小瘪三,unknown,unknown,753,6,0,60,4,2,2004-12-17,2004-12-20
alzheimer,unknown,unknown,898,194,2,37,889,152,2004-08-17,2011-07-09
五欲道人,others,practicing doctor,37,0,0,32,1,1,2018-06-07,2018-06-07
yyhui,nero,practicing doctor,121,13,0,2,33,57,2004-11-15,2006-10-30
dianer,nero,practicing doctor,334,86,3,12,759,30,2003-06-26,2006-12-07
神内一生,nero,practicing doctor,95,2,0,116,92,52,2017-01-20,2017-11-23
bingjian678,unknown,medical student,1,0,0,3,1,1,2015-10-25,2015-10-25
刘宇伟,unknown,unknown,1,0,0,0,1,1,2018-03-09,2018-03-09
fuluying,others,practicing doctor,95,25,0,3,52,22,2005-04-15,2005-10-14
神经病xue小迷糊,unknown,medical student,48,1,0,66,40,15,2018-09-02,2019-02-25
青竹伴梅香,others,practicing doctor,0,0,0,0,1,1,2018-12-14,2018-12-14
xwzhou,nero,practicing doctor,198,29,0,199,1425,85,2014-12-30,2019-04-16
jetto,unknown,practicing doctor,37,3,0,12,540,9,2016-09-07,2019-03-19
dyy0203,unknown,unknown,48,1,0,0,1,3,2005-10-13,2005-10-13
XXDFCAC,nero,practicing doctor,27,2,0,23,43,12,2016-05-26,2016-07-07
fy9598,nero,practicing doctor,252,21,0,2,47,72,2004-04-09,2007-01-23
minhuaiwu,nero,identified doctor,136,1,0,23,1825,14,2010-10-10,2017-09-29
